RecordID,Date,DataCenter,Uptime_Percent,Downtime_Min,Incidents,MTTR_Hours,MTBF_Hours,Temp_C,Humidity_Percent,Power_kWh,Network_Latency_ms,CPU_Util_Percent,Backup_Success_Percent,MaintenanceType,SLA_Compliance_Percent
1,2025-08-02,Daimler DC Sindelfingen,97.423,37.1,0,2.85,301.1,19.6,49.5,1005.2,2.56,75.7,92.35,Scheduled,97.53
2,2025-08-04,Daimler DC Untertürkheim,98.143,26.7,1,2.83,221.2,22.9,46.5,959,2.37,35.4,97.05,Unscheduled,97.7
3,2025-08-06,Daimler DC Möhringen,99.133,12.5,0,4.58,615.6,21.1,38.7,816.6,3.77,65,98.21,Scheduled,97.68
4,2025-08-08,Daimler DC Vaihingen,99.245,10.9,2,1.17,215.8,18.3,50.6,1050.6,2.04,45,97.72,Scheduled,98.24
5,2025-08-09,Daimler DC Möhringen,97.133,41.3,3,2.82,230.5,20.5,49.1,1051.4,2.97,30.8,93.65,Scheduled,95.34
6,2025-08-11,Daimler DC Sindelfingen,97.213,40.1,2,0.55,678.7,20.6,45.3,999.8,1.08,79.7,90.13,Scheduled,95.32
7,2025-08-13,Daimler DC Sindelfingen,97.104,41.7,5,4.68,476.7,20.3,47.3,817.8,4.35,38.5,94.37,Unscheduled,97.66
8,2025-08-15,Daimler DC Untertürkheim,97.892,30.4,5,3.14,641.1,18.1,52.6,1183.1,4,72.6,91.62,Scheduled,97.26
9,2025-08-16,Daimler DC Untertürkheim,99.328,9.7,0,1.11,329.4,21.5,45.3,1194.8,7.9,70.3,97.15,Scheduled,97.76
10,2025-08-18,Daimler DC Vaihingen,98.952,15.1,0,2.05,757.4,18.2,39.4,906.2,1.35,43,95.92,Scheduled,95.47
11,2025-08-20,Daimler DC Vaihingen,97.364,38,0,1.95,394.3,22.5,51.5,803.6,1.38,80.4,98.96,Scheduled,99.63
12,2025-08-22,Daimler DC Vaihingen,97.838,31.1,3,3.36,575.2,19.2,40.9,873.2,1.27,43.9,99.33,Unscheduled,98.91
13,2025-08-23,Daimler DC Möhringen,99.65,5,1,1.83,536,21.3,49.2,848.8,6.38,53.5,98.81,Scheduled,96.74
14,2025-08-25,Daimler DC Vaihingen,98.391,23.2,3,4.76,686.2,18.8,37.1,801.1,2.64,86.4,97.2,Scheduled,97.95
15,2025-08-27,Daimler DC Untertürkheim,97.375,37.8,5,4.84,734.3,19,41.7,1016.9,6.54,86.5,98.22,Unscheduled,96.4
16,2025-08-29,Daimler DC Untertürkheim,98.577,20.5,4,1.61,732.8,22,38.8,910.9,3.06,80,96.4,Scheduled,97.1
17,2025-08-30,Daimler DC Vaihingen,99.64,5.2,4,4.79,765.9,20.8,52.8,1187.7,2.41,65.3,92.11,Unscheduled,97.5
18,2025-09-01,Daimler DC Sindelfingen,97.333,38.4,4,2.07,512.7,22.3,39,1011.9,8.1,64.9,91.99,Unscheduled,95.26
